region,tax_type,vehicle_age_years,coefficient
wallonia,tmc,0,1.0000
wallonia,tmc,1,0.9000
wallonia,tmc,2,0.8000
wallonia,tmc,3,0.7000
wallonia,tmc,4,0.6000
wallonia,tmc,5,0.5500
wallonia,tmc,6,0.5000
wallonia,tmc,7,0.4500
wallonia,tmc,8,0.4000
wallonia,tmc,9,0.3500
wallonia,tmc,10,0.3000
wallonia,tmc,11,0.2500
wallonia,tmc,12,0.2000
wallonia,tmc,13,0.1500
wallonia,tmc,14,0.1000
wallonia,tmc,15,0.0000
flanders,tmc,0,1.0000
flanders,tmc,1,0.9000
flanders,tmc,2,0.8000
flanders,tmc,3,0.7000
flanders,tmc,4,0.6000
flanders,tmc,5,0.5500
flanders,tmc,6,0.5000
flanders,tmc,7,0.4500
flanders,tmc,8,0.4000
flanders,tmc,9,0.3500
flanders,tmc,10,0.3000
flanders,tmc,11,0.2500
flanders,tmc,12,0.2000
flanders,tmc,13,0.1500
flanders,tmc,14,0.1000
flanders,tmc,15,0.1000
brussels,tmc,0,1.0000
brussels,tmc,1,0.9000
brussels,tmc,2,0.8000
brussels,tmc,3,0.7000
brussels,tmc,4,0.6000
brussels,tmc,5,0.5500
brussels,tmc,6,0.5000
brussels,tmc,7,0.4500
brussels,tmc,8,0.4000
brussels,tmc,9,0.3500
brussels,tmc,10,0.3000
brussels,tmc,11,0.2500
brussels,tmc,12,0.2000
brussels,tmc,13,0.1500
brussels,tmc,14,0.1000
brussels,tmc,15,0.0000
