region,tax_type,param_key,param_value
wallonia,tmc,co2_reference_nedc,115.0000
wallonia,tmc,co2_reference_wltp,136.0000
wallonia,tmc,energy_hybrid,0.8000
wallonia,tmc,energy_thermal,1.0000
wallonia,tmc,max_amount,9000.0000
wallonia,tmc,min_amount,50.0000
wallonia,tmc,min_base_amount,61.5000
wallonia,tmc,mma_reference,1838.0000
wallonia,annual,lpg_supplement_per_hp,101.1400
flanders,tmc,co2_correction_x,54.0000
flanders,tmc,co2_correction_x,58.5000
flanders,tmc,co2_correction_x,63.0000
flanders,tmc,electric_fixed_amount,61.5000
flanders,tmc,formula_constant,4500.0000
flanders,tmc,formula_divisor,246.0000
flanders,tmc,fuel_factor_cng,0.9300
flanders,tmc,fuel_factor_cng_petrol,0.7440
flanders,tmc,fuel_factor_default,1.0000
flanders,tmc,fuel_factor_lpg,0.8800
flanders,tmc,max_amount,13969.2900
flanders,tmc,min_amount,55.8800
flanders,tmc,wltp_q_factor,1.0700
flanders,tmc,wltp_q_factor,1.2100
flanders,tmc,wltp_q_factor,1.2450
flanders,tmc,wltp_q_factor,1.1750
flanders,tmc,wltp_q_factor,1.1050
flanders,tmc,wltp_q_factor,1.1400
flanders,tmc,wltp_start_date,20210101.0000
flanders,annual,co2_max_gram,500.0000
flanders,annual,co2_min_gram,24.0000
flanders,annual,co2_percent_per_gram,0.0030
flanders,annual,co2_reference_nedc,122.0000
flanders,annual,co2_reference_wltp,149.0000
flanders,annual,lpg_supplement_per_hp,101.1400
flanders,annual,min_amount,58.5500
brussels,tmc,electric_amount,61.5000
brussels,tmc,electric_min_amount,74.2900
brussels,tmc,lpg_reduction,359.9500
brussels,tmc,min_amount,75.7900
brussels,annual,lpg_supplement_per_hp,101.1400
